bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
24,0,smt_convolution_b16,6880217,True,0.042104,1,0,6
24,0,smt_convolution_b256,6880217,True,0.084737,1,0,3
24,1,smt_convolution_raw,9843059,True,0.035738,1,0,0
24,1,smt_convolution_b16,9843059,True,0.061231,1,0,6
24,1,smt_convolution_b256,9843059,True,0.11827,1,0,3
24,2,smt_convolution_raw,8545921,True,0.047533,1,0,0
24,2,smt_convolution_b16,8545921,True,0.031684,1,0,6
24,2,smt_convolution_b256,8545921,True,0.087997,1,0,3
24,3,smt_convolution_raw,7475879,True,0.035369,1,0,0
24,3,smt_convolution_b16,7475879,True,0.074198,1,0,6
24,3,smt_convolution_b256,7475879,True,0.04946,1,0,3
24,4,smt_convolution_raw,9849293,True,0.07218,1,0,0
24,4,smt_convolution_b16,9849293,True,0.056246,1,0,6
24,4,smt_convolution_b256,9849293,True,0.033648,1,0,3
24,5,smt_convolution_raw,8971867,True,0.054679,1,0,0
24,5,smt_convolution_b16,8971867,True,0.087396,1,0,6
24,5,smt_convolution_b256,8971867,True,0.09837,1,0,3
24,6,smt_convolution_raw,7332769,True,0.02399,1,0,0
24,6,smt_convolution_b16,7332769,True,0.040872,1,0,6
24,6,smt_convolution_b256,7332769,True,0.091847,1,0,3
24,7,smt_convolution_raw,10908929,True,0.105956,1,0,0
24,7,smt_convolution_b16,10908929,True,0.029371,1,0,6
24,7,smt_convolution_b256,10908929,True,0.038377,1,0,3
24,8,smt_convolution_raw,7532183,True,0.076114,1,0,0
24,8,smt_convolution_b16,7532183,True,0.032965,1,0,6
24,8,smt_convolution_b256,7532183,True,0.11325,1,0,3
24,9,smt_convolution_raw,13550051,True,0.03219,1,0,0
24,9,smt_convolution_b16,13550051,True,0.037643,1,0,6
24,9,smt_convolution_b256,13550051,True,0.043063,1,0,3
24,10,smt_convolution_raw,9230563,True,0.023274,1,0,0
24,10,smt_convolution_b16,9230563,True,0.038598,1,0,6
24,10,smt_convolution_b256,9230563,True,0.042332,1,0,3
24,11,smt_convolution_raw,8133271,True,0.058465,1,0,0
24,11,smt_convolution_b16,8133271,True,0.156428,1,0,6
24,11,smt_convolution_b256,8133271,True,0.043563,1,0,3
24,12,smt_convolution_raw,7349197,True,0.084563,1,0,0
24,12,smt_convolution_b16,7349197,True,0.094268,1,0,6
24,12,smt_convolution_b256,7349197,True,0.041848,1,0,3
24,13,smt_convolution_raw,8708309,True,0.038826,1,0,0
24,13,smt_convolution_b16,8708309,True,0.041126,1,0,6
24,13,smt_convolution_b256,8708309,True,0.085195,1,0,3
24,14,smt_convolution_raw,10286021,True,0.08452,1,0,0
24,14,smt_convolution_b16,10286021,True,0.069718,1,0,6
24,14,smt_convolution_b256,10286021,True,0.097836,1,0,3
24,15,smt_convolution_raw,10854317,True,0.098812,1,0,0
24,15,smt_convolution_b16,10854317,True,0.09138,1,0,6
24,15,smt_convolution_b256,10854317,True,0.035096,1,0,3
24,16,smt_convolution_raw,13681933,True,0.043024,1,0,0
24,16,smt_convolution_b16,13681933,True,0.079073,1,0,6
24,16,smt_convolution_b256,13681933,True,0.109451,1,0,3
24,17,smt_convolution_raw,6942181,True,0.039911,1,0,0
24,17,smt_convolution_b16,6942181,True,0.028713,1,0,6
24,17,smt_convolution_b256,6942181,True,0.086794,1,0,3
24,18,smt_convolution_raw,7119841,True,0.078609,1,0,0
24,18,smt_convolution_b16,7119841,True,0.064622,1,0,6
24,18,smt_convolution_b256,7119841,True,0.037674,1,0,3
24,19,smt_convolution_raw,5419133,True,0.063458,1,0,0
24,19,smt_convolution_b16,5419133,True,0.044152,1,0,6
24,19,smt_convolution_b256,5419133,True,0.054392,1,0,3
24,20,smt_convolution_raw,12569801,True,0.047788,1,0,0
24,20,smt_convolution_b16,12569801,True,0.072059,1,0,6
24,20,smt_convolution_b256,12569801,True,0.129829,1,0,3
24,21,smt_convolution_raw,7894339,True,0.062354,1,0,0
24,21,smt_convolution_b16,7894339,True,0.08843,1,0,6
24,21,smt_convolution_b256,7894339,True,0.089953,1,0,3
24,22,smt_convolution_raw,12440731,True,0.128222,1,0,0
24,22,smt_convolution_b16,12440731,True,0.084913,1,0,6
24,22,smt_convolution_b256,12440731,True,0.049879,1,0,3
24,23,smt_convolution_raw,11549183,True,0.092489,1,0,0
24,23,smt_convolution_b16,11549183,True,0.044125,1,0,6
24,23,smt_convolution_b256,11549183,True,0.030084,1,0,3
24,24,smt_convolution_raw,10550789,True,0.048886,1,0,0
24,24,smt_convolution_b16,10550789,True,0.08716,1,0,6
24,24,smt_convolution_b256,10550789,True,0.077911,1,0,3
24,25,smt_convolution_raw,13642621,True,0.106289,1,0,0
24,25,smt_convolution_b16,13642621,True,0.03189,1,0,6
24,25,smt_convolution_b256,13642621,True,0.032965,1,0,3
24,26,smt_convolution_raw,8812619,True,0.075806,1,0,0
24,26,smt_convolution_b16,8812619,True,0.082595,1,0,6
24,26,smt_convolution_b256,8812619,True,0.039671,1,0,3
24,27,smt_convolution_raw,10662541,True,0.035444,1,0,0
24,27,smt_convolution_b16,10662541,True,0.060519,1,0,6
24,27,smt_convolution_b256,10662541,True,0.086121,1,0,3
24,28,smt_convolution_raw,7441327,True,0.062989,1,0,0
24,28,smt_convolution_b16,7441327,True,0.03819,1,0,6
24,28,smt_convolution_b256,7441327,True,0.081584,1,0,3
24,29,smt_convolution_raw,11964677,True,0.053096,1,0,0
24,29,smt_convolution_b16,11964677,True,0.035522,1,0,6
24,29,smt_convolution_b256,11964677,True,0.142552,1,0,3
24,30,smt_convolution_raw,6700531,True,0.064308,1,0,0
24,30,smt_convolution_b16,6700531,True,0.059021,1,0,6
24,30,smt_convolution_b256,6700531,True,0.064886,1,0,3
24,31,smt_convolution_raw,5879299,True,0.047014,1,0,0
24,31,smt_convolution_b16,5879299,True,0.027249,1,0,6
24,31,smt_convolution_b256,5879299,True,0.093751,1,0,3
24,32,smt_convolution_raw,8648803,True,0.041187,1,0,0
24,32,smt_convolution_b16,8648803,True,0.028126,1,0,6
24,32,smt_convolution_b256,8648803,True,0.049943,1,0,3
24,33,smt_convolution_raw,8939837,True,0.047502,1,0,0
24,33,smt_convolution_b16,8939837,True,0.076537,1,0,6
24,33,smt_convolution_b256,8939837,True,0.052938,1,0,3
24,34,smt_convolution_raw,8422889,True,0.060472,1,0,0
24,34,smt_convolution_b16,8422889,True,0.069643,1,0,6
24,34,smt_convolution_b256,8422889,True,0.079411,1,0,3
24,35,smt_convolution_raw,6590333,True,0.098497,1,0,0
24,35,smt_convolution_b16,6590333,True,0.027841,1,0,6
24,35,smt_convolution_b256,6590333,True,0.029084,1,0,3
24,36,smt_convolution_raw,9209749,True,0.07836,1,0,0
24,36,smt_convolution_b16,9209749,True,0.097027,1,0,6
24,36,smt_convolution_b256,9209749,True,0.046233,1,0,3
24,37,smt_convolution_raw,6132613,True,0.041745,1,0,0
24,37,smt_convolution_b16,6132613,True,0.041419,1,0,6
24,37,smt_convolution_b256,6132613,True,0.084554,1,0,3
24,38,smt_convolution_raw,12149953,True,0.070228,1,0,0
24,38,smt_convolution_b16,12149953,True,0.056096,1,0,6
24,38,smt_convolution_b256,12149953,True,0.040883,1,0,3
24,39,smt_convolution_raw,6018721,True,0.099967,1,0,0
24,39,smt_convolution_b16,6018721,True,0.089736,1,0,6
24,39,smt_convolution_b256,6018721,True,0.099688,1,0,3
24,40,smt_convolution_raw,5685011,True,0.039987,1,0,0
24,40,smt_convolution_b16,5685011,True,0.064549,1,0,6
24,40,smt_convolution_b256,5685011,True,0.023894,1,0,3
24,41,smt_convolution_raw,10018159,True,0.023345,1,0,0
24,41,smt_convolution_b16,10018159,True,0.071802,1,0,6
24,41,smt_convolution_b256,10018159,True,0.085896,1,0,3
24,42,smt_convolution_raw,8998631,True,0.109256,1,0,0
24,42,smt_convolution_b16,8998631,True,0.104673,1,0,6
24,42,smt_convolution_b256,8998631,True,0.073467,1,0,3
24,43,smt_convolution_raw,11201579,True,0.080412,1,0,0
24,43,smt_convolution_b16,11201579,True,0.091441,1,0,6
24,43,smt_convolution_b256,11201579,True,0.077637,1,0,3
24,44,smt_convolution_raw,6331201,True,0.062201,1,0,0
24,44,smt_convolution_b16,6331201,True,0.051034,1,0,6
24,44,smt_convolution_b256,6331201,True,0.045074,1,0,3
24,45,smt_convolution_raw,5092471,True,0.030595,1,0,0
24,45,smt_convolution_b16,5092471,True,0.081445,1,0,6
24,45,smt_convolution_b256,5092471,True,0.035761,1,0,3
24,46,smt_convolution_raw,5094443,True,0.0376,1,0,0
24,46,smt_convolution_b16,5094443,True,0.021601,1,0,6
24,46,smt_convolution_b256,5094443,True,0.054529,1,0,3
24,47,smt_convolution_raw,8857169,True,0.089141,1,0,0
24,47,smt_convolution_b16,8857169,True,0.069768,1,0,6
24,47,smt_convolution_b256,8857169,True,0.127402,1,0,3
24,48,smt_convolution_raw,4719389,True,0.066981,1,0,0
24,48,smt_convolution_b16,4719389,True,0.07441,1,0,6
24,48,smt_convolution_b256,4719389,True,0.043366,1,0,3
24,49,smt_convolution_raw,12894979,True,0.030063,1,0,0
24,49,smt_convolution_b16,12894979,True,0.066448,1,0,6
24,49,smt_convolution_b256,12894979,True,0.073071,1,0,3
28,0,smt_convolution_raw,218748749,True,0.318363,1,0,0
28,0,smt_convolution_b16,218748749,True,0.076208,1,0,7
28,0,smt_convolution_b256,218748749,True,0.369025,1,0,4
28,1,smt_convolution_raw,186233353,True,0.276851,1,0,0
